货物出口到香港包括九龙或澳门寸仓火险责任扩展条款,_FIRE_RISK_EXTENSION_CLAUSEFOR
新产品创意来源,_SOURCES_OF_NEWPRODUCT_IDEAS
内蒙古科技大学,_INNER_MONGOLIA_UNIVERSITY_OF
最后付款证明书,_LAST_PAY_CERTIFICATE
不可撤消信用证,_IRRESPECTIVE_LETTER_OF
协会货物险条款,_INSTITUTE_CARGO_CLAUSES_CICCC
为了的利益为了,_IN_THE_INTEREST_OF
把某事保守秘密,_KEEP_STH_SECRET
把敲掉击倒停工,_KNOCK_OFF
船方官卸不管装,_FREE_INFI
在于分娩睡懒觉,_LIE_IN
住在之外靠生活,_LIVE_OFF
不点也不别客气,_NOT_AT_ALL
船舶载重线证明,_CERTIFICATE_OF_LOAD_LINE
古罗马人罗马的,_OOMAN
加拿大标准协会,_CANADIAN_STANDARDS_ASSOCIATION
&牛肉块加牛腰,_STEAKKIDNEY
财务会计原则,_FINANICIAL_ACCOUNTING
一般预算支出,_GENERAL_BUDGET_EXPENDITURE
行政单位负债,_LIABILITIES_OF_GOVERNMENTAL
事业单位收入,_REVENUE_FOR_NONPROFIT
资金调拨收入,_PROCEODS_FROM_ALLOCATED_AND
广告接受人数,_ADVERTISING_REACH
湖南中医学院,_HUNAN_COLLEGE_OF_TRADITIONAL
南京体育学院,_NANJING_INSTITUTE_OF_PHYSICAL
竞争情报信息,_COMPETITIVE_INTELLIGENCE
湛江师范学院,_ZHANJIANG_TEACHERS_COLLEGE
四川外语学院,_SICHUAN_INTERNATIONAL_STUDIES
服务的便利性,_CONVENIENCE
麻省理工学院,_MASSACHUSETTS_INSTITUTE_OF
澳洲国立大学,_AUSTRALIAN_NATIONAL_UNIVERSITY
曼彻斯特大学,_UNIVERSITY_OF_MANCHESTER
布里斯托大学,_UNIVERSITY_OF_BRISTOL
亚琛工业大学,_RWTH_AACHEN_UNIVERSITY
蒙特利尔大学,_UNIVERSITY_OF_MONTREAL
香港城市大学,_CITY_UNIVERSITY_OF_HONG_KONG
埃克塞特大学,_UNIVERSITY_OF_EXETER
结实度与外观,_FIT_AND_FINISH
卡尔加里大学,_UNIVERSITY_OF_CALGARY
正面进攻战略,_FRONTAL_ATTACK_STRATEGY
巴塞罗那大学,_UNIVERSITY_OF_BARCELONA
巴黎第七大学,_PARIS_DIDEROT_UNIVERSITY_PARIS
威廉玛丽学院,_WILLIAM_MARY
代码访问安全,_CODE_ACCESS_SECURITY
圣路易斯大学,_SAINT_LOUIS_UNIVERSITY
里昂第一大学,_CLAUDE_BERNARD_UNIVERSITY_LYON
基本数据结构,_ATA_TRUCTURES
都灵理工大学,_POLYTECHNIC_UNIVERSITY_OF
双字节字符集,_DOUBLEBYTE_CHARACTER_SET
西班牙金雀儿,_ALBUS
外国语言文学,_FOREIGN_LANGUAGES_AND
白兜荷包牡丹,_CUCULARIA
编译即时编译,_COMPILATION
白粉叶万年青,_JENMANNII
登录安全模式,_LOGIN_SECURITY_MODE
西伯利亚葶苈,_SIBIRICA
指浆造纸工程,_PULP_AND_PAPER_ENGINEERING
芹叶牻牛儿苗,_CICUTARIUM
金边大叶黄杨,_AUREOVARIEGATA
传输控制协议,_TRANSPORT_CONTROL_PROTOCOL
模式定义语言,_CHEMA_EFINITION
维也纳华尔兹,_VIENNESE_WALTZ
国务院各部委,_MINISTRIES_AND_COMMISSIONS_OF
国务院参事室,_COUNSELLORS_OFFICE_OF_THE
备抵附加账户,_PROVISION_AND_ADJUNCT_ACCOUNTS
专用记账凭证,_SPECIALPURPOSE_VOUCHER
汇总原始凭证,_CUMULATIVE_SOURCE_DOCUMENT
中国佛教协会,_CHINESE_BUDDHIST_ASSOCIATION
应收账款出售,_SALE_OR_FACTORING_OF_ACCOUNTS
公司债券发行,_CORPORATE_BOND_FLOATATION
合并每股收益,_CONSOLIDATED_EPS
重瓣垂丝海棠,_PARKMANII
特定物价指数,_SPECIFIC_PRICE_INDEX
红纹白脉竹芋,_ERYTHRONEURA
外币兑换风险,_FOREIGN_CURRENCY_EXCHANGE_RISK
物价变动会计,_ACCOUNTING_FOR_PRICE_CHANGES
相对账户调节,_RECONCILIATION_OF_HOME_OFFICE
一次总付清算,_LUMPSUM_QARTNERSHIP
全面成本控制,_TOTAL_COST_CONTROL
拉斯帕尔马斯,_LAS_PALMAS
成本计算对象,_COSTING_OBJECTIVE
产品成本计划,_THE_PLAN_OF_PRODUCT_COSTS
国际存货管理,_INTERNATIONAL_INVENTORY
财务管理目标,_FINANCIAL_MANAGEMENT
应用程序接口,_API
局部区域网络,_LAN
把归因于属性,_ATTRIBUTE
较好的更好地,_BETTER
最晚开始日期,_LATE_START_DATE
目标开始日期,_TARGET_START_DATE
勤勉的勤奋的,_DILIGENT
差别不同区分,_DISTINCTION
腰上的牛排肉,_PORTERHOUSESTEAK
执行的执行者,_EXECUTIVE
今后从现在起,_FROM_NOW_ON
认真开始工作,_GET_DOWN_TO_WORK
得到找到占有,_GET_ONE_HANDS_ON
归还恢复后退,_GIVE_BACK
放弃投降抛弃,_GIVE_UP
拿去抢走拐走,_GO_OFF_WITH
紫背叶仙人掌,_GODSEFFIANA
国民生产总值,_GROSS_NATIONAL_PRODUCT_GNP
哈佛商业评论,_HARVARD_BUSINESS_REVIEW
商业信息广告,_INFOMERCIALS
内部使用测试,_INHOUSE_USE_TESTS
大花四季樱草,_GRANDIFLORA
多因素指数法,_MULTIPLEFACTOR_INDEX
世界性新产品,_NEWTOTHEWORLD_PRODUCTS
新喀里多尼亚,_NEW_CALEDONIA
户外广告媒体,_OUTOFHOME_MEDIA
交换中的各方,_PARTIES_INVOLVED
皮特凯恩群岛,_PITCAIRN_ISLANDS
地中海绵枣儿,_PERUVIANA
北京交通大学,_BEIJING_JIAOTONG_UNIVERSITY
华中农业大学,_HUAZHONG_AGRICULTURAL
北京工业大学,_BEIJING_POLYTECHNIC_UNIVERSITY
中央财经大学,_CENTRAL_UNIVERSITY_OF_FINANCE
大粉红绣线菊,_FORTUNEI
天津医科大学,_TIANJIN_MEDICAL_UNIVERSITY
净资产回报率,_RETURN_ON_NET_ASSETS_RONA
北京语言大学,_BEIJING_LANGUAGE_UNIVERSITY
河北工业大学,_HEBEI_UNIVERSITY_OF_TECHNOLOGY
销售表现业绩,_SALES_PERFORMANCE
广西师范大学,_GUANGXI_NORMAL_UNIVERSITY
重庆医科大学,_CHONGQING_UNIVERSITY_OF
天津理工大学,_TIANJIN_UNIVERSITY_OF
陕西科技大学,_SHAANXI_UNIVERSITY_OF_SCIENCE
西北民族大学,_NORTHWEST_MINORITIES
新疆师范大学,_XINGJIANG_NORMAL_UNIVERSITY
南京财经大学,_NANJING_UNIVERSITY_OF_FINANCE
毛茛状金莲花,_RANUNCULOIDES
齐齐哈尔大学,_QIQIHAR_UNIVERSITY
上海电力学院,_SHANGHAI_INSTITUTE_OF_ELECTRIC
广西师范学院,_GUANGXI_TEACHES_COLLEGE
山东工商学院,_SHANDONG_INSTITUTE_OF_BUSINESS
河南科技学院,_HENAN_INSTITUTE_OF_SCIENCE_AND
吉林化工学院,_JILIN_INSTITUTE_OF_CHEMICAL
唐山师范学院,_TANGSHAN_TEACHERS_COLLEGE
以旧换新折让,_TRADEIN_ALLOWANCE
监督建筑契约,_TURNKEY_CONSTRUCTION_CONTRACT
湖南科技学院,_HUNAN_INSTITUTE_OF_SCIENCE_AND
统一商品编码,_UNIVERSAL_PRODUCT_CODE_UPC
长春工程学院,_CHANGCHUN_INSTITUTE_OF
太原师范学院,_TAIYUAN_TEACHERS_COLLEGE
宝鸡文理学院,_BAOJI_COLLEGE_OF_ARTS_AND
西安文理学院,_XIAN_INSTITUTE_OF_ARTS_AND
淮南师范学院,_HUAINAN_NORMAL_UNIVERSITY
甘肃中医学院,_GANSU_COLLEGE_OF_TRADITIONAL
贵州财经学院,_GUIZHOU_INSTITUTE_OF_FINANCE
上海戏剧学院,_SHANGHAI_THEATRE_ACADEMY
价格修正条款,_PRICE_ADJUSTMENT_CLAUSE
天津体育学院,_TIANJIN_INSTITUTE_OF_PHYSICAL
安庆师范学院,_ANQING_TEACHERS_COLLEGE
甲哌利福霉素,_RIFAMPICIN_RIFAMPIN
四川美术学院,_SICHUAN_INSTITUTE_OF_FINE_ARTS
杭州师范学院,_HANGZHOU_TEACHERS_COLLEGE
丁胺卡那霉素,_AMIKACIN
毒毛旋花子甙,_STROPHANTHIN
西安体育学院,_XIAN_INSTITUTE_OF_PHYSICAL
主管掌管照管,_IN_CHARGE_OF
通常一般地说,_IN_GENERAL
以便以为目的,_IN_ORDER_TO
不论损失程度,_IRRESPECTIVE_OF_PERCENTAGEIOP
尽管不顾虽然,_IN_SPITE_OF
价值检验证书,_INSPECTION_CERTIFICATE_OF
根本违反合同,_FUNDAMENTAL_BREACH
国际经济法学,_INTERNATIONAL_LAW_INCLUDING
等待以后处理,_LIE_OVER
靠生活以为食,_LIVE_ON
出口载货清单,_EXPORT_MANIFEST
坎特伯雷大学,_UNIVERSITY_OF_CANTERBURY
预定到达时间,_ESTIMATED_TIME_OF_ARRIVALETA
电子数据处理,_ELECTRONIC_DATA_PROCESSINGEDP
受票人滞期费,_DRAWEE
前进前往行进,_MAKE_ONE_WAY
流传足够分配,_GO_AROUND
不惜任何代价,_GIVE_ONE_EARS
不要紧没关系,_NEVER_MIND
使求助于谈到,_REFER
代替人用代替,_SUBSTITUTE
中国预算会计,_GOVERNMENTAL_AND_NONPROFIT
医院会计制度,_ACCOUNTING_REGULATIONS_ROR
一般预算收入,_GENERAL_BUDGET_REVENUE
高等学校资产,_COLLEGES_AND_UNIVERSITIES
高等学校会计,_COLLEGES_AND_UNIVERSITIES
专用基金支出,_EXPENDITURE_ON_SPECIAL_PURPOSE
财政补助收入,_GRANT_FROM_THE_STATE
基本生理需要,_BASIC_PHYSICAL_NEEDS
品牌意识认知,_BRAND_AWARENESS
陕西中医学院,_SHANXI_TRADITIONAL_CHINESE
江苏工业学院,_JIANGSU_POLYTECHNIC_UNIVERSITY
广西中医学院,_GUANGXI_COLLEGE_OF_TRADITIONAL
湖北中医学院,_HUBEI_COLLEGE_OF_TRADITIONAL
红花竹节海棠,_COCCINEA
云南艺术学院,_YUNNA_ARTS_INSTITUTE
产品销售成本,_COST_OF_GOODS_SOLD_COGS
北京体育大学,_BEIJING_UNIVERSITY_OF_PHYSICAL
南京审计学院,_NANJING_AUDIT_UNIVERSITY
墨西哥荷包花,_MAXICANA
格罗宁根大学,_UNIVERSITY_OF_GRONINGEN
格拉斯哥大学,_UNIVERSITY_OF_GLASGOW
营销伦理道德,_ETHICS_OF_MARKETING
哥本哈根大学,_UNIVERSITY_OF_COPENHAGEN
展示广告媒体,_EXHIBITION_MEDIA
兰卡斯特大学,_LANCASTER_UNIVERSITY
维尔茨堡大学,_UNIVERSITY_OF_WRZBURG
国立台湾大学,_NATIONAL_TAIWAN_UNIVERSITY
米兰理工大学,_POLYTECHNIC_UNIVERSITY_OF
格里菲斯大学,_GRIFFITH_UNIVERSITY
埃塞克斯大学,_UNIVERSITY_OF_ESSEX
科克大学学院,_UNIVERSITY_COLLEGE_CORK
蒙彼利埃大学,_MONTPELLIER_UNIVERSITY
中外政治制度,_CHINESE_AND_FOREIGN_POLITICAL
英语语言文学,_ENGLISH_LANGUAGES_AND
欧洲语言文学,_EUROPEAN_LANGUAGES_AND
美丽荷包牡丹,_FORMOSA
物理海洋科学,_PHYSICAL_OCEANOGRAPHY
冶金物理化学,_PHYSICAL_CHEMISTRY_OF
核技术及应用,_NUCLEAR_TECHNOLOGY_AND
金心大叶黄杨,_MEDIOPICTA
拉丁美洲舞​,_LATIN_AMERICAN_DANCING
秆大花麦秆菊,_MONSTROSUM
纯白重瓣木槿,_ALBAPLENA
成本计算账户,_COSTING_ACCOUNTS
债权结算账户,_ACCOUNTS_FOR_SETTLEMENT_OF
中国财政学会,_CHINESE_FINANCE_SOCIETY
集合分配账户,_CLEARING_ACCOUNTS
公司债券利率,_INTEREST_RATE_ON_DEBENTURE
固定资产修理,_REPAIRS_AND_MAINTENANCE_OF
去甲肾上腺素,_NORADRENALINE_NOREPINEPHRINE
期货交易市场,_MARKET_OF_FUTURES_TRANSACTION
名义货币单位,_UNITS_OF_NOMINAL_CURRENCY
共同费用分配,_HOME_OFFICEBRANCH_EXPENSE
大叶白脉竹芋,_KERCHOVEANA
外币会计报表,_FOREIGN_CURRENCY_STATEMENTS
克赖斯特彻奇,_CHRISTCHURCH
克里斯托巴尔,_CRISTOBAL
新合伙人入伙,_ADMISSION_OF_A_NEW_PARTHER
存货转让价格,_INVENTORY_TRANSFER_PRICE
不合并子公司,_UNCONSOLIDATED_SUBSIDIARIES
工资费用分配,_SALARY_COSTS_ALLOCATION
小朵令箭荷花,_PHYLLANTHOIDES
商品销售成本,_COST_OF_MERCHANDISE_SOLD
成本控制标准,_STANDARD_OF_COST_CONTROL
成本计算单位,_COSTING_UNIT
无限责任公司,_COMPANY_OF_UNLIMITED_LIABILITY
财务管理环境,_FINANCIAL_MANAGEMENT
奥腊涅斯塔德,_ORANJESTAD
建设单位会计,_ACCOUNTING_OF_CONSTRUCTION
年生侧金盏花,_ANNUA
四轮运货马车,_WAGGON
液晶显示屏幕,_LCD
人种的种族的,_RCIL
长途公共汽车,_COACH
现代项目管理,_MODERN_PROJECT_MANAGEMENT
构成组成任命,_CONSTITUTE
全面质量管理,_TOTAL_QUALITY_MANAGEMENT
区别辨别认别,_DISTINGUISH
在楼下楼下的,_DOWNSTAIRS
薄暮黄昏幽暗,_DUSK
可煮食的苹果,_BRAMLEYS
肯定地确凿地,_FOR_CERTAIN
时常有时不时,_FROM_TIME_TO_TIME
逃避摆脱改掉,_GET_OUT_OF
让路让步撤退,_GIVE_WAY
银边红雀珊瑚,_CUCULLATUS
苹果香天竺葵,_ODORATISSIMUM
为的目的花钱,_GO_TO_THE_EXPENSE_OF
分派把拿出来,_HAND_OUT
花叶叶仙人掌,_RUBESCENS
只要要是就好,_IF_ONLY
国际组织设计,_INTERNATIONAL_ORGANIZATIONAL
彩霞日本樱花,_SHOJO
市场进入战略,_MARKET_ENTRY_STRATEGIES
营销计划内容,_MARKETING_PROGRAM_COMPONENTS
荚迷叶茶藨子,_VIBURNIFOLIUM
房屋占用成本,_OCCUPANCY_COSTS
组织采购中心,_ORGANIZATION_BUYING_CENTER
全面成本领先,_OVERALL_COST_LEADERSHIP
地位集中程度,_POSITION_INTENSITY
潜在目标市场,_POTENTIAL_TARGET_MARKET
现有的竞争者,_PRESENT_COMPETITORS
大连理工大学,_DALIAN_UNIVERSITY_OF
产品倾向份额,_PRODUCT_INTENT_SHARE
中国农业大学,_CHINA_AGRICULTURE_UNIVERSITY
华中师范大学,_HUA_ZHONG_NORMAL_UNIVERSITY
合肥工业大学,_HEFEI_UNIVERSITY_OF_TECHNOLOGY
高茎一枝黄花,_ALTISSIMA
浙江师范大学,_ZHEJIANG_NORMAL_UNIVERSITY
首都医科大学,_CAPITAL_UNIVERSITY_OF_MEDICAL
相对市场潜力,_RELATIVE_MARKET_POTENTIAL
大连海事大学,_DALIAN_MARITIME_UNIVERSITY
江西财经大学,_JIANGXI_UNIVERSITY_OF_FINANCE
销售人员激励,_SALES_PERSONNEL_INCENTIVES
云南师范大学,_YUNNAN_NORMAL_UNIVERSITY
河北农业大学,_HEBEI_AGRICULTURAL_UNIVERSITY
墨西哥落羽杉,_MUCRONATUM
市场细分变量,_SEGMENTATION_DESCRIPTORS
自我管理团队,_SELFMANAGING_TEAMS
河南理工大学,_HENAN_POLYTECHNIC_UNIVERSITY
西安科技大学,_XIAN_UNIVERSITY_OF_SCIENCE_AND
江西农业大学,_JIANGXI_AGRICULTURAL
青岛理工大学,_QINGDAO_INSTITUTE_OF_CHEMICAL
新疆农业大学,_XINGJIANG_AGRICULTURAL
福建医科大学,_FUJIAN_MEDICAL_UNIVERSITY
大连交通大学,_DALIAN_JIAOTONG_UNIVERSITY
山西农业大学,_SHANXI_AGRICULTURAL_UNIVERSITY
北京服装学院,_BEIJING_INSTITUTE_OF_CLOTHING
目标回报价格,_TARGET_RETURN_PRICE
电视观众测量,_TELEVISION_AUDIENCE
西安财经学院,_XIAN_INSTITUTE_OF_FINANCE_AND
白花蔓长春花,_ALBA
湖南工程学院,_HUNAN_INSTITUTE_OF_ENGINEERING
徐州工程学院,_XUZHOU_INSTITUTE_OF_TECHNOLOGY
重瓣多花紫藤,_VIOLENCEAPLENA
基本组成要素,_UNDERLYING_DIMENSION
南京晓庄学院,_NANGJING_XIAOZHUANG_COLLEGE
云南中医学院,_YUNNAN_COLLEGE_OF_TRADITIONAL
内江师范学院,_NEIJIANG_TEACHERS_COLLEGE
伊犁师范学院,_ILI_TEACHERS_COLLEGE
上饶师范学院,_SHANGRAO_TEACHERS_COLLEGE
大连民族学院,_DALIAN_NATIONALITIES_INSTITUTE
平顶山工学院,_PINGDINGSHAN_INSTITUTE_OF
浙江财经学院,_ZHEJIANG_INSTITUTE_OF_FINANCE
去乙酰毛花苷,_DESLANOSIDE_CEDILANID
河北体育学院,_HEBEI_INSTITUTE_OF_PHYSICAL
湖北警官学院,_HUBEI_INSTITUTE_FOR_POLICE
漳州师范学院,_ZHANGZHOU_TEACHES_COLLEGE
广州美术学院,_GUANGZHOU_ACADEMY_OF_FINE_ARTS
临沂师范学院,_LINYI_TEACHERS_COLLEGE
上海水产大学,_SHANGHAI_FISHERIES_UNIVERSITY
大庆石油学院,_DAQING_PETROLEUM_INSTITUTE
黄河科技学院,_HUANGHE_SCIENCE_AND_TECHNOLOGY
内蒙古医学院,_INNER_MONGOLIA_MEDICAL_COLLEGE
重大意外事故,_MAJOR_CAUSES
共用公有共同,_IN_COMMON
在适当的时候,_IN_DUE_COURSE
性质上实际上,_IN_NATURE
国际多式联运,_INTERNATIONAL_MULTIMODAL
协调同步合拍,_IN_STEP
承保人保险人,_INSURER
基本上大体上,_IN_THE_MAIN
数量检验证书,_INSPECTION_CERTIFICATE_OF
引路带路示范,_LEAD_THE_WAY
观察调查窥视,_LOOK_INTO
边际贡献分析,_CONTRIBUTION_MARGIN_ANALYSIS
维多利亚大学,_VICTORIA_UNIVERSITY
电子数据通信,_ELECTRONIC_DATA_INTERCHANGE
拼凑组成补偿,_MAKE_UP
记下标低价目,_MARK_DOWN
隔壁的在隔壁,_NEXT_DOOR
船舶船员名单,_CREW_LIST
行列排队等候,_QUEUE
代表性的代表,_REPRESENTATIVE
编制招标文件,_BIDDING_DOCUMENTS
财务报表要素,_ELEMENTS_OF_FINANCIAL
医院会计科目,_CHART_OF_ACCOUNTS_FOR
行政单位资产,_ASSETS_OF_GOVERNMENTAL_UNITS
事业单位负债,_LIABILITIES_FOR_NONPROFIT
高等学校支出,_COLLEGES_AND_UNIVERSITIES
高等学校负债,_COLLEGES_AND_UNIVERSITIES
专用基金收入,_PROCEEDS_FROM_SPECIAL_PURPOSE
广告信息来源,_ADVERTISING_SOURCE
烟台师范学院,_YANTAI_NORMAL_UNIVERSITY
钢铁研究总院,_CENTRAL_IRON_AND_STEEL
渠道控制战略,_CHANNELCONTROL_STRATEGIES
山西中医学院,_SHANXI_COLLEGE_OF_TRADITIONAL
河北理工大学,_HEBEI_POLYTECHNIC_UNIVERSITY
降低成本产品,_COST_REDUCTIONS
普林斯顿大学,_PRINCETON_UNIVERSITY
互生叶醉鱼草,_ALTERNIFOLIA
伦敦大学学院,_UNIVERSITY_COLLEGE_LONDON
香港科技大学,_HONG_KONG_UNIVERSITY_OF
柏林洪堡大学,_HUMBOLDT_UNIVERSITY_OF_BERLIN
瓦格宁根大学,_WAGENINGEN_UNIVERSITY_RESEARCH
首尔国立大学,_SEOUL_NATIONAL_UNIVERSITY
意大利风铃草,_CAMPANULA_ISOPHYLLA
经济技术因素,_ECONOMIC_AND_TECHNOLOGICAL
浦项科技大学,_POHANG_UNIVERSITY_OF_SCIENCE
巴黎第六大学,_PIERRE_AND_MARIE_CURIE
联邦百货商店,_FEDERAL_DEPARTMENT_STORES
布兰迪斯大学,_BRANDEIS_UNIVERSITY
维克森林大学,_WAKE_FOREST_UNIVERSITY
霍恩海姆大学,_UNIVERSITY_OF_HOHENHEIM
国立清华大学,_NATIONAL_TSING_HUA_UNIVERSITY
悉尼科技大学,_UNIVERSITY_OF_TECHNOLOGY
布鲁内尔大学,_BRUNEL_UNIVERSITY_LONDON
塞浦路斯大学,_UNIVERSITY_OF_CYPRUS
香港浸会大学,_HONG_KONG_BAPTIST_UNIVERSITY
韦恩州立大学,_WAYNE_STATE_UNIVERSITY
文档类型定义,_DOCUMENT_TYPE_DIFINITION
汉语言文字学,_CHINESE_PHILOLOGY
俄语语言文学,_RUSSIAN_LANGUAGES_AND
亚非语言文学,_ASIANAFRICAN_LANGUAGES_AND
大花荷包牡丹,_MACRANTHA
化工过程机械,_CHEMICAL_PROCESS_EQUIPMENT
水工结构工程,_HYDRAULIC_STRUCTURE
远程过程调用,_REMOTE_PROCEDURE_CALL
统一建模语言,_UNFIED_MODELING_LANGUAGE
口腔基础医学,_BASIC_SCIENCE_OF_STOMATOLOGY
军事预防医学,_MILITARY_PREVENTIVE_MEDICINE
军事晕运筹学,_MILITARY_OPERATION_RESEARCH
技术进出口局,_TECHNOLOGY_IMPORT_AND_EXPORT
反身动作位置,_CONTRARY_BODY_MOVEMENT
粉红重瓣木槿,_ROSEATRIATA
山脉中的凹处,_BAY
资金来源账户,_ACCOUNTS_OF_SOURCES_OF_FUNDS
跨期摊提账户,_INTERPERIOD_ALLOCATION
计价对比账户,_MATCHING_ACCOUNTS
中国会计学会,_CHINESE_ACCOUNTING_SOCIETY
应收账款出借,_ASSIGNMENT_OF_ACCOUNTS
白花智利钟花,_ALBIFLORA
拨定留存收益,_APPROPRIATED_RETAINED_EARNINGS
货币非货币法,_MONETARYNO_MONETARY
阿尔赫西拉斯,_ALGECIRAS
股票指数期货,_STOCK_INDEX_FUTRUES
企业合并会计,_ACCOUNTING_FOR_BUSINESS
商品期货交易,_FUTRUES_FOR_COMMODITY
布埃纳文图拉,_BUENAVENTURA
分期收款销货,_INSTALLMENT_SALES
豹纹白脉竹芋,_MASSANGEANA
外币折算风险,_FOREIGN_CURENCY_TRANSLATION
外币负债风险,_FOREIGN_CRURENCY_LIABILITY
成本控制程序,_PROCEDURE_OF_COST_CONTROL
责任成本层次,_LEVELS_OF_RESPONSIBILITY_COST
公司内部贷款,_INTERCOMPANY_LOANS
历史成本原则,_PRINGCIPLE_OF_HISTORICAL_COST
文件传输协议,_FTP
异常处理机制,_EXCEPTION_HANDLING
令人不愉快的,_AWFUL
中国的中国人,_CHINESE
组织分解结构,_ORGANIZATIONAL_BREAKDOWN
计划开始日期,_PLANNED_START_DATE
大胆的勇敢的,_DARING
工作分解结构,_WORK_BREAKDOWN_STRUCTURE
缺点缺陷欠缺,_DEFECT
破坏毁灭消灭,_DESTRUCTION
使无能使伤残,_DISABLE
丢掉处理销毁,_DISPOSAL
拍打过的牛排,_TENDERISEDSTEAK
向下的向下地,_DOWNWARD
欧洲的欧洲人,_UROPEAN
爱上迷恋受骗,_FALL_FOR
跑得比快逼近,_GAIN_ON
到达了解查明,_GET_AT
让位于给让路,_GIVE_WAY_TO
走过放过依照,_GO_BY
花叶红雀珊瑚,_VARIEGATUS
上舞台当演员,_GO_ON_THE_STAGE
盾叶蔓天竺葵,_PELARGONIUM_PELTATUM_HYBRIDS
交出移交让与,_HAND_OVER
迎面地正面地,_HEAD_ON
巴拿马冷水花,_PILEA_INVOLUCRATA
增加渗透战略,_INCREASED_PENETRATION_STRATEGY
尼泊尔委陵菜,_NEPALENSIS
内部数据来源,_INTERNAL_DATA_SOURCES
服务的国际化,_INTERNATIONALIZATION_OF
整体市场战略,_MARKET_AGGREGATION_STRATEGY
营销行为规范,_MARKETING_CODES_OF_CONDUCT
对营销的影响,_MARKETING_IMPLICATIONS_OF
营销计划方案,_MARKETING_PROGRAM
壁龛市场战略,_NICHEMARKET_STRATEGY
提供销售信息,_PRESENTING_SALES_MESSAGE
华南理工大学,_SOUTH_CHINA_UNIVERSITY_OF
产品领导能力,_PRODUCT_LEADERSHIP
电子科技大学,_UNIVERSITY_OF_ELECTRONIC
中国海洋大学,_OCEAN_UNIVERSITY_OF_CHINA
北京邮电大学,_BEIJING_UNIVERSITY_OF_POSTS
湖南师范大学,_HUNAN_NORMAL_UNIVERSITY
华南师范大学,_SOUTH_CHINA_NORMAL_UNIVERSITY
北京林业大学,_BEIJING_FORESTRY_UNIVERSITY
东北林业大学,_NORTHEAST_FORESTRY_UNIVERSITY
相对市场份额,_RELATIVE_MARKET_SHARE
华北电力大学,_NORTH_CHINA_ELECTRIC_POWER
南京邮电大学,_NANJING_UNIVERSITY_OF_POST_AND
西南政法大学,_SOUTHWEST_UNIVERSITY_OF
山东农业大学,_SHANDONG_AGRICULTURAL
浙江工商大学,_ZHEJIANG_GONGSHANG_UNIVERSITY
销售人员估计,_SALES_FORCE_ESTIMATES
广东工业大学,_GUANGDONG_UNIVERSITY_OF
西安理工大学,_XIAN_UNIVERSITY_OF_TECHNOLOGY
四川师范大学,_SICHUAN_NORMAL_UNIVERSITY
兰州交通大学,_LANZHOU_JIAOTONG_UNIVERSITY
辽宁师范大学,_LIAONING_NORMAL_UNIVERSITY
湖南科技大学,_HUNAN_UNIVERSITY_OF_SCIENCE
曲阜师范大学,_QUFU_NORMAL_UNIVERSITY
河北医科大学,_HEBEI_MEDICAL_UNIVERSITY
江西理工大学,_JIANGXI_UNIVERSITY_OF_SCIENCE
广西医科大学,_GUANGXI_MEDICAL_UNIVERSITY
沈阳药科大学,_SHENYANG_PHARMACEUTICAL
江苏科技大学,_JIANGSU_UNIVERSITY_OF_SCIENCE
战略营销计划,_STRATEGIC_MARKETING_PROGRAM
北京联合大学,_BEIJING_UNION_UNIVERSITY
信阳师范学院,_XINYANG_TEACHERS_COLLEGE
电视家庭购物,_TELEVISION_HOME_SHOPPING
浙江万里学院,_ZHEJIANG_WANLI_COLLEGE
矮大叶珊瑚树,_AWABUKI
盐城师范学院,_YANCHENG_TEACHERS_COLLEGE
双向信息陈述,_TWOSIDED_PRESENTATIONS
四川理工学院,_SICHUAN_UNIVERSITY_OF_SCIENCE
商丘师范学院,_SHANGQIU_TEACHERS_COLLEGE
价值基础计划,_VALUEBASED_PLANNING
曲靖师范学院,_QUJING_TEACHERS_COLLEGE
周转资金投入,_WORKING_CAPITAL_INVESTMENT
渭南师范学院,_WEINAN_TEACHERS_COLLEGE
通化师范学院,_TONGHUA_TEACHERS_COLLEGE
首都体育学院,_CAPITAL_INSTITUTE_OF_PE
西安美术学院,_XIAN_ACADEMY_OF_FINE_ARTS
山东经济学院,_SHANDONG_INSTITUTE_OF
北京舞蹈学院,_BEIJING_DANCE_ACADEMY
青海民族学院,_QINGHAI_INSTITUTE_FOR
鲁迅美术学院,_LUXUN_ACADEMY_OF_FINE_ARTS
苄丙酮香豆素,_WARFARIN
中国音乐学院,_CHINA_CONSERVATORY
日本工业标准,_JAPANESE_INDUSTRIAL
人之初性本善,_MANS_NATURE_AT_BIRTH_IS_GOOD
国际特快专递,_INTERNATIONAL_EXPRESS_MAIL
支援支持拥护,_IN_SUPPORT_OF
说曹操曹操到,_TALK_OF_THE_DEVIL_AND_HE
在远处远方的,_IN_THE_DISTANCE
品质检验证书,_INSPECTION_CERTIFICATE_OF
社会保障法学,_SCIENCE_OF_LABOUR_LAW_AND
上好可销品质,_GOOD_MERCHANTABLE_QUALITYGMQ
